,dates,home_vs_away,venue,competition,final_score,goal_events,card_events
82,Op zondag 15 januari,Speelde FC Groningen thuis tegen Feyenoord,in Euroborg,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint uit met 0-3 van FC Groningen,"Igor Paixão scoorde voor Feyenoord in de 1e helft in minuut 19, O. Kökçü scoorde voor Feyenoord in de 1e helft in minuut 30, S. Giménez scoorde voor Feyenoord in de 2e helft in minuut 91",L. Valente van Groningen kreeg in de 2e helft in minuut 66 een gele kaart
83,Op zondag 15 januari,Speelde FC Emmen thuis tegen SC Cambuur Leeuwarden,in De Oude Meerdijk,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Emmen en SC Cambuur Leeuwarden hebben gelijk gespeeld met 0-0,Beide partijen wisten niet te scoren,João Virgínia van Cambuur kreeg in de 1e helft in minuut 4 een gele kaart
84,Op zondag 15 januari,Speelde Fortuna Sittard thuis tegen PSV,in Fortuna Sittard Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Fortuna Sittard en PSV hebben gelijk gespeeld met 2-2,"Iñigo Córdoba scoorde voor Fortuna Sittard in de 1e helft in minuut 46, X. Simons scoorde voor PSV in de 2e helft in minuut 65, I. Sangaré scoorde voor PSV in de 2e helft in minuut 76, B. Yılmaz scoorde voor Fortuna Sittard in de 2e helft in minuut 99",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
85,Op zondag 15 januari,Speelde Vitesse thuis tegen N.E.C.,in GelreDome,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Vitesse en N.E.C. hebben gelijk gespeeld met 0-0,Beide partijen wisten niet te scoren,"M. Wittek van Vitesse kreeg in de 1e helft in minuut 23 een gele kaart, O. Tannane van NEC kreeg in de 1e helft in minuut 23 een rode kaart, L. Schöne van NEC kreeg in de 2e helft in minuut 65 een gele kaart, D. Proper van NEC kreeg in de 2e helft in minuut 81 een gele kaart, C. Verdonk van NEC kreeg in de 2e helft in minuut 87 een gele kaart, S. El Karouani van NEC kreeg in de 2e helft in minuut 88 een gele kaart"
86,Op zaterdag 14 januari,Speelde Sparta Rotterdam thuis tegen Excelsior,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam wint thuis met 1-0 van Excelsior,J. Kitolano scoorde voor Sparta Rotterdam in de 2e helft in minuut 91,"J. van Mullem van Sparta Rotterdam kreeg in de 1e helft in minuut 23 een gele kaart, M. van Duinen van Excelsior kreeg in de 2e helft in minuut 90 een gele kaart"
87,Op zaterdag 14 januari,Speelde Ajax thuis tegen FC Twente,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax en FC Twente hebben gelijk gespeeld met 0-0,Beide partijen wisten niet te scoren,"A. Sampsted van Twente kreeg in de 1e helft in minuut 13 een gele kaart, D. Rensch van Ajax kreeg in de 1e helft in minuut 35 een rode kaart, R. van Wolfswinkel van Twente kreeg in de 1e helft in minuut 51 een gele kaart, D. Tadić van Ajax kreeg in de 2e helft in minuut 55 een gele kaart, R. Zerrouki van Twente kreeg in de 2e helft in minuut 61 een gele kaart, C. Tzolis van Twente kreeg in de 2e helft in minuut 73 een gele kaart"
88,Op zaterdag 14 januari,Speelde FC Volendam thuis tegen RKC Waalwijk,in Kras Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Volendam wint thuis met 2-1 van RKC Waalwijk,"M. Seuntjens scoorde voor RKC Waalwijk in de 2e helft in minuut 63, X. Mbuyamba scoorde voor Volendam in de 2e helft in minuut 69, F. Da Silva scoorde voor Volendam in de 2e helft in minuut 81",D. Murkin van Volendam kreeg in de 1e helft in minuut 31 een gele kaart
89,Op zaterdag 14 januari,Speelde sc Heerenveen thuis tegen AZ,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",AZ wint uit met 0-2 van sc Heerenveen,"D. de Wit scoorde voor AZ in de 1e helft in minuut 33, T. Reijnders scoorde voor AZ in de 2e helft in minuut 46","Y. Sugawara van AZ kreeg in de 2e helft in minuut 54 een gele kaart, T. Reijnders van AZ kreeg in de 2e helft in minuut 59 een gele kaart, J. Karlsson van AZ kreeg in de 2e helft in minuut 68 een gele kaart"
90,Op zondag 8 januari,Speelde Excelsior thuis tegen FC Groningen,in Van Donge & De Roo Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Excelsior wint thuis met 1-0 van FC Groningen,R. El Yaakoubi scoorde voor Excelsior in de 2e helft in minuut 69,"M. Azarkan van Excelsior kreeg in de 1e helft in minuut 37 een gele kaart, L. van Gelderen van Groningen kreeg in de 1e helft in minuut 40 een gele kaart, C. Driouech van Excelsior kreeg in de 2e helft in minuut 59 een gele kaart, T. Suslov van Groningen kreeg in de 2e helft in minuut 61 een gele kaart, I. Määttä van Groningen kreeg in de 2e helft in minuut 81 een gele kaart"
91,Op zondag 8 januari,Speelde N.E.C. thuis tegen Ajax,in Goffertstadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",N.E.C. en Ajax hebben gelijk gespeeld met 1-1,"D. Klaassen scoorde voor Ajax in de 1e helft in minuut 38, L. Dimata scoorde voor NEC in de 2e helft in minuut 52","J. Sánchez van Ajax kreeg in de 2e helft in minuut 50 een gele kaart, D. Rensch van Ajax kreeg in de 2e helft in minuut 58 een gele kaart, Francisco Conceição van Ajax kreeg in de 2e helft in minuut 69 een gele kaart, Iván Márquez van NEC kreeg in de 2e helft in minuut 88 een gele kaart"
92,Op zondag 8 januari,Speelde SC Cambuur Leeuwarden thuis tegen FC Volendam,in Cambuur Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Volendam wint uit met 0-3 van SC Cambuur Leeuwarden,"B. Ould-Chikh scoorde voor Volendam in de 1e helft in minuut 8, R. Mühren scoorde voor Volendam in de 1e helft in minuut 9, H. Veerman scoorde voor Volendam in de 2e helft in minuut 74","D. van Kaam van Cambuur kreeg in de 1e helft in minuut 26 een gele kaart, S. van der Water van Cambuur kreeg in de 2e helft in minuut 54 een gele kaart, A. Bangura van Cambuur kreeg in de 2e helft in minuut 73 een gele kaart, G. Oristanio van Volendam kreeg in de 2e helft in minuut 77 een gele kaart"
93,Op zondag 8 januari,Speelde FC Utrecht thuis tegen Feyenoord,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Utrecht en Feyenoord hebben gelijk gespeeld met 1-1,"J. Toornstra scoorde voor Utrecht in de 1e helft in minuut 3, A. Jahanbakhsh scoorde voor Feyenoord in de 2e helft in minuut 90","O. Idrissi van Feyenoord kreeg in de 1e helft in minuut 46 een gele kaart, M. van der Hoorn van Utrecht kreeg in de 1e helft in minuut 46 een gele kaart, M. van der Maarel van Utrecht kreeg in de 2e helft in minuut 60 een gele kaart"
94,Op zaterdag 7 januari,Speelde RKC Waalwijk thuis tegen sc Heerenveen,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",RKC Waalwijk en sc Heerenveen hebben gelijk gespeeld met 0-0,Beide partijen wisten niet te scoren,"T. Haye van Heerenveen kreeg in de 1e helft in minuut 26 een gele kaart, S. Adewoye van RKC Waalwijk kreeg in de 1e helft in minuut 40 een gele kaart"
95,Op zaterdag 7 januari,Speelde PSV thuis tegen Sparta Rotterdam,in Philips Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV en Sparta Rotterdam hebben gelijk gespeeld met 0-0,Beide partijen wisten niet te scoren,"B. Vriends van Sparta Rotterdam kreeg in de 1e helft in minuut 45 een gele kaart, N. Madueke van PSV kreeg in de 2e helft in minuut 51 een gele kaart, V. van Crooij van Sparta Rotterdam kreeg in de 2e helft in minuut 52 een gele kaart, A. Verschueren van Sparta Rotterdam kreeg in de 2e helft in minuut 70 een gele kaart"
96,Op zaterdag 7 januari,Speelde Fortuna Sittard thuis tegen Go Ahead Eagles,in Fortuna Sittard Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles wint uit met 0-2 van Fortuna Sittard,"B. Kuipers scoorde voor Go Ahead Eagles in de 1e helft in minuut 21, B. Adekanye scoorde voor Go Ahead Eagles in de 1e helft in minuut 44","G. Cox van Fortuna Sittard kreeg in de 1e helft in minuut 4 een gele kaart, B. Adekanye van Go Ahead Eagles kreeg in de 1e helft in minuut 17 een gele kaart, T. Buitink van Fortuna Sittard kreeg in de 2e helft in minuut 56 een gele kaart, E. Llansana van Go Ahead Eagles kreeg in de 2e helft in minuut 80 een gele kaart, T. Taşçı van Fortuna Sittard kreeg in de 2e helft in minuut 91 een gele kaart, B. Yılmaz van Fortuna Sittard kreeg in de 2e helft in minuut 94 een gele kaart"
97,Op zaterdag 7 januari,Speelde AZ thuis tegen Vitesse,in AFAS Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",AZ en Vitesse hebben gelijk gespeeld met 1-1,"V. Pavlidis scoorde voor AZ in de 2e helft in minuut 77, M. Sankoh scoorde voor Vitesse in de 2e helft in minuut 87","G. Vidović van Vitesse kreeg in de 1e helft in minuut 34 een gele kaart, Y. Sugawara van AZ kreeg in de 1e helft in minuut 42 een gele kaart, M. de Wit van AZ kreeg in de 2e helft in minuut 93 een gele kaart"
98,Op vrijdag 6 januari,Speelde FC Twente thuis tegen FC Emmen,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Twente wint thuis met 2-0 van FC Emmen,"R. van Wolfswinkel scoorde voor Twente in de 1e helft in minuut 5, M. Sadílek scoorde voor Twente in de 2e helft in minuut 67","M. Hilgers van Twente kreeg in de 1e helft in minuut 31 een gele kaart, J. Assehnoun van Emmen kreeg in de 2e helft in minuut 87 een gele kaart, M. Heylen van Emmen kreeg in de 2e helft in minuut 91 een gele kaart"
99,Op zondag 13 november,Speelde Go Ahead Eagles thuis tegen Vitesse,in De Adelaarshorst,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles en Vitesse hebben gelijk gespeeld met 2-2,"P. Rommens scoorde voor Go Ahead Eagles in de 1e helft in minuut 8, P. Rommens scoorde voor Go Ahead Eagles in de 1e helft in minuut 20, M. Bero scoorde voor Vitesse in de 2e helft in minuut 49, S. van Duivenbooden scoorde voor Vitesse in de 2e helft in minuut 93","R. Flamingo van Vitesse kreeg in de 1e helft in minuut 7 een gele kaart, S. Tronstad van Vitesse kreeg in de 2e helft in minuut 59 een gele kaart, M. Wittek van Vitesse kreeg in de 2e helft in minuut 62 een gele kaart, K. Kozłowski van Vitesse kreeg in de 2e helft in minuut 64 een gele kaart, E. Llansana van Go Ahead Eagles kreeg in de 2e helft in minuut 85 een gele kaart, M. Jonathans van Vitesse kreeg in de 2e helft in minuut 90 een gele kaart, M. Bero van Vitesse kreeg in de 2e helft in minuut 92 een gele kaart"
100,Op zondag 13 november,Speelde Feyenoord thuis tegen Excelsior,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 5-1 van Excelsior,"K. Goudmijn scoorde voor Excelsior in de 1e helft in minuut 4, S. Szymański scoorde voor Feyenoord in de 1e helft in minuut 11, O. Kökçü scoorde voor Feyenoord in de 1e helft in minuut 20, S. Szymański scoorde voor Feyenoord in de 2e helft in minuut 50, O. Kökçü scoorde voor Feyenoord in de 2e helft in minuut 66, P. Wålemark scoorde voor Feyenoord in de 2e helft in minuut 78","M. van Duinen van Excelsior kreeg in de 1e helft in minuut 19 een gele kaart, Igor Paixão van Feyenoord kreeg in de 1e helft in minuut 26 een gele kaart, Q. Hartman van Feyenoord kreeg in de 2e helft in minuut 47 een gele kaart, J. Baas van Excelsior kreeg in de 2e helft in minuut 74 een gele kaart, J. Donkor van Excelsior kreeg in de 2e helft in minuut 83 een gele kaart"
101,Op zondag 13 november,Speelde FC Groningen thuis tegen Fortuna Sittard,in Euroborg,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Fortuna Sittard wint uit met 2-3 van FC Groningen,"R. Pepi scoorde voor Groningen in de 1e helft in minuut 45, P. Gladon scoorde voor Fortuna Sittard in de 2e helft in minuut 78, P. Gladon scoorde voor Fortuna Sittard in de 2e helft in minuut 84, F. Krüger scoorde voor Groningen in de 2e helft in minuut 91, T. Noslin scoorde voor Fortuna Sittard in de 2e helft in minuut 95",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
102,Op zondag 13 november,Speelde sc Heerenveen thuis tegen SC Cambuur Leeuwarden,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",sc Heerenveen wint thuis met 2-1 van SC Cambuur Leeuwarden,"J. Jacobs scoorde voor Cambuur in de 1e helft in minuut 10, A. Sarr scoorde voor Heerenveen in de 1e helft in minuut 36, A. Tahiri scoorde voor Heerenveen in de 2e helft in minuut 81","S. van Beek van Heerenveen kreeg in de 1e helft in minuut 33 een gele kaart, S. van Hooijdonk van Heerenveen kreeg in de 1e helft in minuut 33 een gele kaart, L. Bergsma van Cambuur kreeg in de 1e helft in minuut 38 een gele kaart, A. Tahiri van Heerenveen kreeg in de 2e helft in minuut 82 een gele kaart, A. Bangura van Cambuur kreeg in de 2e helft in minuut 90 een gele kaart"
103,Op zondag 13 november,Speelde N.E.C. thuis tegen RKC Waalwijk,in Goffertstadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",N.E.C. wint thuis met 6-1 van RKC Waalwijk,"D. Van den Buijs scoorde voor RKC Waalwijk in de 1e helft in minuut 4, L. Dimata scoorde voor NEC in de 1e helft in minuut 38, S. El Karouani scoorde voor NEC in de 2e helft in minuut 50, M. Mattsson scoorde voor NEC in de 2e helft in minuut 73, Pedro Marques scoorde voor NEC in de 2e helft in minuut 78, E. Tavşan scoorde voor NEC in de 2e helft in minuut 88, Pedro Marques scoorde voor NEC in de 2e helft in minuut 92","I. Bel Hassani van RKC Waalwijk kreeg in de 1e helft in minuut 11 een rode kaart, S. El Karouani van NEC kreeg in de 1e helft in minuut 36 een gele kaart, J. Gaari van RKC Waalwijk kreeg in de 2e helft in minuut 58 een gele kaart, V. Anita van RKC Waalwijk kreeg in de 2e helft in minuut 91 een gele kaart"
104,Op zaterdag 12 november,Speelde PSV thuis tegen AZ,in Philips Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",AZ wint uit met 0-1 van PSV,V. Pavlidis scoorde voor AZ in de 1e helft in minuut 18,"Y. Sugawara van AZ kreeg in de 1e helft in minuut 38 een gele kaart, M. Kerkez van AZ kreeg in de 2e helft in minuut 86 een gele kaart"
105,Op zaterdag 12 november,Speelde FC Emmen thuis tegen Ajax,in De Oude Meerdijk,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Emmen en Ajax hebben gelijk gespeeld met 3-3,"J. Veldmate scoorde voor Emmen in de 1e helft in minuut 6, K. Taylor scoorde voor Ajax in de 1e helft in minuut 8, K. Taylor scoorde voor Ajax in de 1e helft in minuut 21, S. Bergwijn scoorde voor Ajax in de 1e helft in minuut 25, R. Živković scoorde voor Emmen in de 2e helft in minuut 58, M. Bouchouari scoorde voor Emmen in de 2e helft in minuut 84","J. Assehnoun van Emmen kreeg in de 2e helft in minuut 74 een gele kaart, F. Grillitsch van Ajax kreeg in de 2e helft in minuut 87 een gele kaart, Rui Mendes van Emmen kreeg in de 2e helft in minuut 95 een gele kaart"
106,Op zaterdag 12 november,Speelde FC Volendam thuis tegen FC Utrecht,in Kras Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Utrecht wint uit met 0-4 van FC Volendam,"T. Booth scoorde voor Utrecht in de 1e helft in minuut 14, B. Dost scoorde voor Utrecht in de 2e helft in minuut 73, S. van de Streek scoorde voor Utrecht in de 2e helft in minuut 84, C. Bozdoğan scoorde voor Utrecht in de 2e helft in minuut 92","S. van de Streek van Utrecht kreeg in de 2e helft in minuut 52 een gele kaart, L. Zeefuik van Volendam kreeg in de 2e helft in minuut 57 een gele kaart"
107,Op vrijdag 11 november,Speelde Sparta Rotterdam thuis tegen FC Twente,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam en FC Twente hebben gelijk gespeeld met 1-1,"S. Steijn scoorde voor Twente in de 2e helft in minuut 63, A. Verschueren scoorde voor Sparta Rotterdam in de 2e helft in minuut 71","A. Verschueren van Sparta Rotterdam kreeg in de 2e helft in minuut 60 een gele kaart, J. van Mullem van Sparta Rotterdam kreeg in de 2e helft in minuut 62 een gele kaart"
108,Op donderdag 10 november,Speelde Feyenoord thuis tegen SC Cambuur Leeuwarden,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 1-0 van SC Cambuur Leeuwarden,Q. Hartman scoorde voor Feyenoord in de 1e helft in minuut 4,"G. Trauner van Feyenoord kreeg in de 1e helft in minuut 45 een gele kaart, P. Wålemark van Feyenoord kreeg in de 2e helft in minuut 78 een gele kaart, C. Mac-Intosch van Cambuur kreeg in de 2e helft in minuut 78 een gele kaart, O. Kökçü van Feyenoord kreeg in de 2e helft in minuut 92 een gele kaart"
109,Op woensdag 9 november,Speelde Ajax thuis tegen Vitesse,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax en Vitesse hebben gelijk gespeeld met 2-2,"D. Tadić scoorde voor Ajax in de 1e helft in minuut 6, M. Manhoef scoorde voor Vitesse in de 1e helft in minuut 25, M. Manhoef scoorde voor Vitesse in de 2e helft in minuut 74, L. Lucca scoorde voor Ajax in de 2e helft in minuut 79","D. Reiziger van Vitesse kreeg in de 2e helft in minuut 84 een gele kaart, Francisco Conceição van Ajax kreeg in de 2e helft in minuut 90 een gele kaart"
110,Op zondag 6 november,Speelde Ajax thuis tegen PSV,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV wint uit met 1-2 van Ajax,"L. de Jong scoorde voor PSV in de 1e helft in minuut 23, É. Gutiérrez scoorde voor PSV in de 2e helft in minuut 50, L. Lucca scoorde voor Ajax in de 2e helft in minuut 83","A. Obispo van PSV kreeg in de 1e helft in minuut 34 een gele kaart, E. Álvarez van Ajax kreeg in de 1e helft in minuut 34 een gele kaart, L. de Jong van PSV kreeg in de 2e helft in minuut 63 een gele kaart, S. Berghuis van Ajax kreeg in de 2e helft in minuut 71 een gele kaart, G. Til van PSV kreeg in de 2e helft in minuut 88 een gele kaart"
111,Op zondag 6 november,Speelde FC Volendam thuis tegen Feyenoord,in Kras Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint uit met 0-2 van FC Volendam,"Danilo scoorde voor Feyenoord in de 1e helft in minuut 16, S. Szymański scoorde voor Feyenoord in de 1e helft in minuut 43","B. Plat van Volendam kreeg in de 1e helft in minuut 38 een gele kaart, Q. Hartman van Feyenoord kreeg in de 1e helft in minuut 38 een gele kaart, B. Ould-Chikh van Volendam kreeg in de 2e helft in minuut 88 een gele kaart, G. Trauner van Feyenoord kreeg in de 2e helft in minuut 95 een gele kaart"
112,Op zondag 6 november,Speelde RKC Waalwijk thuis tegen AZ,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",RKC Waalwijk wint thuis met 3-1 van AZ,"J. Karlsson scoorde voor AZ in de 1e helft in minuut 9, I. Bel Hassani scoorde voor RKC Waalwijk in de 1e helft in minuut 32, Z. Bakkali scoorde voor RKC Waalwijk in de 2e helft in minuut 87, Z. Bakkali scoorde voor RKC Waalwijk in de 2e helft in minuut 92","V. Anita van RKC Waalwijk kreeg in de 1e helft in minuut 22 een gele kaart, J. Clasie van AZ kreeg in de 2e helft in minuut 65 een gele kaart, M. de Wit van AZ kreeg in de 2e helft in minuut 83 een gele kaart, J. Karlsson van AZ kreeg in de 2e helft in minuut 96 een gele kaart"
113,Op zondag 6 november,Speelde FC Twente thuis tegen Go Ahead Eagles,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Twente en Go Ahead Eagles hebben gelijk gespeeld met 1-1,"R. van Wolfswinkel scoorde voor Twente in de 1e helft in minuut 34, W. Willumsson scoorde voor Go Ahead Eagles in de 2e helft in minuut 92","M. Hilgers van Twente kreeg in de 1e helft in minuut 18 een gele kaart, B. Adekanye van Go Ahead Eagles kreeg in de 1e helft in minuut 37 een gele kaart, R. Pröpper van Twente kreeg in de 1e helft in minuut 46 een gele kaart, F. Stokkers van Go Ahead Eagles kreeg in de 2e helft in minuut 86 een gele kaart, L. Everink van Twente kreeg in de 2e helft in minuut 91 een gele kaart, R. Zerrouki van Twente kreeg in de 2e helft in minuut 92 een gele kaart"
114,Op zondag 6 november,Speelde FC Utrecht thuis tegen FC Groningen,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Utrecht wint thuis met 2-1 van FC Groningen,"F. Krüger scoorde voor Groningen in de 1e helft in minuut 40, T. Booth scoorde voor Utrecht in de 2e helft in minuut 62, S. van de Streek scoorde voor Utrecht in de 2e helft in minuut 84","S. Klaiber van Utrecht kreeg in de 1e helft in minuut 46 een gele kaart, L. Valente van Groningen kreeg in de 1e helft in minuut 46 een gele kaart, M. Sagnan van Utrecht kreeg in de 2e helft in minuut 67 een gele kaart, T. Booth van Utrecht kreeg in de 2e helft in minuut 79 een gele kaart"
115,Op zaterdag 5 november,Speelde Vitesse thuis tegen Sparta Rotterdam,in GelreDome,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam wint uit met 0-4 van Vitesse,"T. Lauritsen scoorde voor Sparta Rotterdam in de 2e helft in minuut 69, S. Mijnans scoorde voor Sparta Rotterdam in de 2e helft in minuut 72, T. Lauritsen scoorde voor Sparta Rotterdam in de 2e helft in minuut 88, A. Verschueren scoorde voor Sparta Rotterdam in de 2e helft in minuut 91",S. Tronstad van Vitesse kreeg in de 1e helft in minuut 7 een gele kaart
116,Op zaterdag 5 november,Speelde Excelsior thuis tegen sc Heerenveen,in Van Donge & De Roo Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",sc Heerenveen wint uit met 0-1 van Excelsior,M. van Ewijk scoorde voor Heerenveen in de 2e helft in minuut 58,A. Colassin van Heerenveen kreeg in de 2e helft in minuut 96 een gele kaart
117,Op vrijdag 4 november,Speelde SC Cambuur Leeuwarden thuis tegen N.E.C.,in Cambuur Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",N.E.C. wint uit met 0-1 van SC Cambuur Leeuwarden,L. Schöne scoorde voor NEC in de 1e helft in minuut 44,T. Boere van Cambuur kreeg in de 2e helft in minuut 76 een gele kaart
118,Op zondag 28 augustus,Speelde FC Utrecht thuis tegen Ajax,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax wint uit met 0-2 van FC Utrecht,"S. Berghuis scoorde voor Ajax in de 1e helft in minuut 10, B. Brobbey scoorde voor Ajax in de 1e helft in minuut 46","J. Timber van Ajax kreeg in de 1e helft in minuut 35 een gele kaart, D. Rensch van Ajax kreeg in de 1e helft in minuut 36 een gele kaart, O. Boussaid van Utrecht kreeg in de 2e helft in minuut 54 een gele kaart, D. Tadić van Ajax kreeg in de 2e helft in minuut 70 een gele kaart, B. Dost van Utrecht kreeg in de 2e helft in minuut 88 een gele kaart"
119,Op zaterdag 6 augustus,Speelde PSV thuis tegen FC Emmen,in Philips Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV wint thuis met 4-1 van FC Emmen,"J. Bakayoko scoorde voor PSV in de 1e helft in minuut 18, M. Kieftenbeld scoorde voor Emmen in de 1e helft in minuut 26, C. Gakpo scoorde voor PSV in de 1e helft in minuut 38, C. Gakpo scoorde voor PSV in de 2e helft in minuut 54, O. Romeny scoorde voor Emmen in de 2e helft in minuut 62",K. Veendorp van Emmen kreeg in de 1e helft in minuut 25 een gele kaart
120,Op zondag 18 september,Speelde sc Heerenveen thuis tegen FC Twente,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",sc Heerenveen wint thuis met 2-1 van FC Twente,"V. Misidjan scoorde voor Twente in de 1e helft in minuut 2, M. van Ewijk scoorde voor Heerenveen in de 1e helft in minuut 28, P. Bochniewicz scoorde voor Heerenveen in de 1e helft in minuut 36","G. Smal van Twente kreeg in de 1e helft in minuut 14 een gele kaart, R. Pröpper van Twente kreeg in de 1e helft in minuut 15 een gele kaart, A. Tahiri van Heerenveen kreeg in de 2e helft in minuut 55 een gele kaart, R. Kaib van Heerenveen kreeg in de 2e helft in minuut 79 een gele kaart, S. van Ottele van Heerenveen kreeg in de 2e helft in minuut 96 een gele kaart"
121,Op zondag 18 september,Speelde AZ thuis tegen Ajax,in AFAS Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",AZ wint thuis met 2-1 van Ajax,"M. Kudus scoorde voor Ajax in de 1e helft in minuut 12, M. de Wit scoorde voor AZ in de 1e helft in minuut 40, J. Odgaard scoorde voor AZ in de 1e helft in minuut 51","K. Taylor van Ajax kreeg in de 1e helft in minuut 26 een gele kaart, M. Kerkez van AZ kreeg in de 1e helft in minuut 42 een gele kaart, J. Odgaard van AZ kreeg in de 1e helft in minuut 49 een gele kaart, E. Álvarez van Ajax kreeg in de 2e helft in minuut 77 een gele kaart, T. Reijnders van AZ kreeg in de 2e helft in minuut 87 een gele kaart"
122,Op zondag 18 september,Speelde Go Ahead Eagles thuis tegen FC Emmen,in De Adelaarshorst,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles wint thuis met 2-0 van FC Emmen,"O. Edvardsen scoorde voor Go Ahead Eagles in de 1e helft in minuut 31, O. Edvardsen scoorde voor Go Ahead Eagles in de 2e helft in minuut 57","K. Veendorp van Emmen kreeg in de 1e helft in minuut 46 een gele kaart, E. Linthorst van Go Ahead Eagles kreeg in de 2e helft in minuut 64 een gele kaart, L. Bernadou van Emmen kreeg in de 2e helft in minuut 76 een gele kaart, J. Amofa van Go Ahead Eagles kreeg in de 2e helft in minuut 94 een gele kaart"
